Offense,Bailable
wearing the dress or carrying any token used by a soldier sailor or airman with intent that it may be believed that he is such a soldier sailor or airman,bailable
receiving property taken by war or depredation mentioned in section 125 and 126,nonbailable
public servant voluntarily allowing prisoner of state or war in his custody to escape,nonbailable
public servant negligently suffering prisoner of state or war in his custody to escape,bailable
aiding escape of rescuing or harbouring such prisoner or offering any resistance to the recapture of such prisoner,nonbailable
abetting mutiny or attempting to seduce an officer soldier sailor or airman from his allegiance or duty,nonbailable
abetment of mutiny if mutiny is committed in consequence thereof,nonbailable
abetment of an assault by an officer soldier sailor or airman on his superior officer when in the execution of his office,nonbailable
abetment of such assault if the assault is committed,nonbailable
abetment of the desertion of an officer soldier sailor or airman,bailable
harbouring such an officer soldier sailor or airman who ha deserted,bailable
collecting arm etc with the intention of waging war against the government of india,nonbailable
deserter concealed on board merchant vessel through negligence of master or person in charge thereof,bailable
abetment of act of insubordination by an officer soldier sailor or airman if the offence be committed in consequence,bailable
conspiring to commit certain offence against the state,nonbailable
collecting arm etc with the intention of waging war against the government of india,nonbailable
concealing with intent to facilitate a design to wage war,nonbailable
assaulting president governor etc with intent to compel or restrain the exercise of any lawful power,nonbailable
sedition,nonbailable
waging war against any asiatic power in alliance or at peace with the government of india or abetting the waging of such war,nonbailable
committing depredation on the territory of any power in alliance or at peace with the government of india,nonbailable
wearing the dress or carrying any token used by a soldier sailor or airman with intent that it may be believed that he is such a soldier sailor or airman,bailable
wantonly giving provocation with intent to cause riot if rioting be committed,bailable
promoting enmity between class,nonbailable
promoting enmity between class,nonbailable
imputation assertion prejudicial to national integration,nonbailable
owner or occupier of land non giving information of riot etc,bailable
person for whose benefit or on whose behalf a riot take place not using all lawful mean to prevent it,bailable
agent of owner or occupier for whose benefit a riot is committed not using all lawful mean to prevent it,bailable
harbouring person hired for an unlawful assembly,bailable
being hired to take part in an unlawful assembly or riot,bailable
nan,nan
joining or continuing in an unlawful assembly knowing that it ha been commanded to disperse,bailable
committing affray,bailable
being or expecting to be a public servant and taking a gratification other than legal remuneration in respect of an official act,nonbailable
taking a gratification in order by corrupt or illegal mean to influence a public servant,nonbailable
taking a gratification for the exercise of personal influence with a public servant,nonbailable
abetment by public servant of the offence defined in the last two preceding clause with reference to himself,nonbailable
public servant obtaining any valuable thing without consideration from a person concerned in any proceeding or business transacted by such public servant,nonbailable
punishment for abetment of offence punishable under section 161 or section 165,nonbailable
public servant disobeying a direction of the law with intent to cause injury to any person,bailable
nan,nan
nan,nan
nan,nan
public servant framing an incorrect document with intent to cause injury,bailable
public servant unlawfully engaging in trade,bailable
public servant unlawfully buying or bidding for property,bailable
personating a public servant,nonbailable
a described,nonbailable
nan,nan
nan,nan
nan,nan
nan,nan
bribery,bailable
rioting,bailable
undue influence at an election,bailable
false statement in connection with an election,bailable
illegal payment in connection with election,bailable
failure to keep election account,bailable
absconding to avoid service of summons or other proceeding from a public servant,bailable
preventing the service or the affixing of any summons of notice or the removal of it when it ha been affixed or preventing a reclamation,bailable
not obeying a legal order to attend at a certain place in person or by agent or departing therefrom without authority,bailable
failure to appear at specified place and specified time a required by a proclamation published under subsection 1 of section 82 of this code,nonbailable
intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document,bailable
intentionally omitting to give notice or information to a public servant by a person legally bound to give such notice or information,bailable
rioting armed with deadly weapon,bailable
knowingly furnishing false information to a public servant,bailable
refusing oath when duly required to take oath by a public servant,bailable
being legally bound to state truth and refusing to answer question,bailable
refusing to sign statement made to a public servant when legally required to do so,bailable
knowingly stating to a public servant on oath a true that which is false,bailable
giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,bailable
resistance to the taking of property by the lawful authority of a public servant,bailable
obstructing sale of property offered for sale by authority of a public servant,bailable
bidding by a person under a legal incapacity to purchase it for property at a lawfully authorized sale or bidding without intending to perform the obligation incurred thereby,bailable
obstructing public servant in discharge of his public function,bailable
if an offence be committed by any member of an unlawful assembly every other member of such assembly shall be guilty of the offence,same a offence
omission to assist public servant when bound by law to give such assistance,bailable
disobedience to an order lawfully promulgated by a public servant if such disobedience cause obstruction annoyance or injury to person lawfully employed,bailable
threatening a public servant with injury to him or one in whom he is interested to induce him to do or forbear to do any official act,bailable
threatening any person to induce him to refrain from making a legal application for protection from injury,bailable
hiring engaging or employing person to take part in an unlawful assembly,same a offence
knowingly joining or continuing in any assembly of five or more person after it ha been commanded to disperse,bailable
assaulting or obstructing public servant when suppressing riot etc,bailable
resistance or obstruction by a person to his lawful apprehension,bailable
resistance or obstruction to the lawful apprehension of any person or rescuing him from lawful custody,bailable
omission to apprehend or sufferance of escape on part of public servant in case not otherwise provided for in case of intentional omission or sufferance,bailable
resistance or obstruction to lawful apprehension or escape or rescue in case not otherwise provided for,bailable
nan,nan
nan,nan
nan,nan
giving or fabricating false evidence in a judicial proceeding,bailable
giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence,nonbailable
giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 year or upwards,bailable
threatening any person to give false evidence,nonbailable
using in a judicial proceeding evidence known to be false or fabricated,same a offence
knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence,bailable
using a a true certificate one known to be false in a material point,bailable
false statement made in any declaration which by law receivable a evidence,bailable
using a true any such declaration known to be false,bailable
causing disappearance of evidence of an offence committed or giving false information touching it to screen the offender if a capital offence,bailable
intentional omission to give information of an offence by a person legally bound to inform,bailable
giving false information respecting an offence committed,bailable
secreting or destroying any document to prevent it production a evidence,bailable
false personation for the purpose of any act or proceeding in a suit or criminal prosecution or for becoming bail or security,bailable
fraudulent removal or concealment etc of property to prevent it seizure a a forfeiture or in satisfaction of a fine under sentence or in execution of a decree,bailable
claiming property without right or practicing deception touching any right to it to prevent it being taken a a forfeiture or in satisfaction of a fine under sentence or in execution of a decree,bailable
fraudulently suffering a decree to pas for a sum not due or suffering decree to be executed after it ha been satisfied,bailable
false claim in a court of justice,bailable
fraudulently obtaining a decree for a sum not due or causing a decree to be executed after it ha been satisfied,bailable
false charge of offence made with intent to injure,bailable
harbouring an offender if the offence be capital,bailable
taking gift etc to screen an offender from punishment if the offence be capital,bailable
offering gift or restoration of property in consideration of screening offender if the offence be capital,bailable
taking gift to help to recover movable property of which a person ha been deprived by an offence without causing apprehension of offender,bailable
harbouring an offender who ha escaped from custody or whose apprehension ha been ordered if the offence be capital,bailable
harbouring robber or dacoit,bailable
nan,nan
public servant disobeying a direction of law with intent to save person from punishment or property from forfeiture,bailable
public servant framing an incorrect record or writing with intent to save person from punishment or property from forfeiture,bailable
public servant in a judicial proceeding corruptly making and pronouncing an order report verdict or decision which he know to be contrary to law,bailable
commitment for trial or confinement by a person having authority who know that he is acting contrary to law,bailable
intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender if the offence be capital,bailable
intentional omission to apprehend on the part of a public servant bound by law to apprehend person under sentence of a court of justice if under sentence of death,nonbailable
escape from confinement negligently suffered by a public servant,bailable
violation of condition of remission of punishment,nonbailable
intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,bailable
disclosure of identity of the victim of certain offence etc,bailable
personation of a juror or assessor,bailable
failure by person released on bail or bond to appear in court,nonbailable
nan,nan
counterfeiting or performing any part of the process of counterfeiting coin,nonbailable
counterfeiting or performing any part of the process of counterfeiting coin,nonbailable
making buying or selling instrument for the purpose of counterfeiting coin,nonbailable
making buying or selling instrument for the purpose of counterfeiting indian coin,nonbailable
possession of instrument or material for the purpose of using the same for counterfeiting coin,nonbailable
abetting in india the counterfeiting out of india of coin,nonbailable
import or export of counterfeit coin knowing the same to be counterfeit,nonbailable
import or export of counterfeit of indian coin knowing the same to be counterfeit,nonbailable
having any counterfeit coin known to be such when it came into possession and delivering etc the same to any person,nonbailable
same with respect to indian coin,nonbailable
knowingly delivering to another any counterfeit coin a genuine which when first possessed the deliverer did not know to be counterfeit,nonbailable
possession of counterfeit coin by a person who knew it to be counterfeit when he became possessed thereof,nonbailable
possession of indian coin by a person who knew it to be counterfeit when he became possessed thereof,nonbailable
person employed in a mint causing coin to be of a different weight or composition from that fixed by law,nonbailable
unlawfully taking from a mint any coining instrument,nonbailable
fraudulently diminishing the weight or altering the composition of any coin,nonbailable
fraudulently diminishing the weight or altering the composition of indian coin,nonbailable
altering appearance of any coin with intent that it shall pas a a coin of a different description,nonbailable
altering appearance of indian coin with intent that it shall pas a a coin of a different description,nonbailable
delivery to another of coin possessed with the knowledge that it is altered,nonbailable
delivery of indian coin possessed with the knowledge that it is altered,nonbailable
possession of altered coin by a person who knew it to be altered when he became possessed thereof,nonbailable
possession of indian coin by a person who knew it to be altered when he became possessed thereof,nonbailable
delivery to another of coin a genuine which when first possessed the deliverer did not know to be altered,nonbailable
counterfeiting a government stamp,nonbailable
having possession of an instrument or material for the purpose of counterfeiting a government stamp,nonbailable
making buying or selling instrument for the purpose of counterfeiting a government stamp,nonbailable
sale of counterfeit government stamp,nonbailable
having possession of a counterfeit government stamp,bailable
using a genuine a government stamp known to be counterfeit,bailable
effacing any writing from a substance bearing a government stamp or removing from a document a stamp used for it with intent to cause a loss to government,bailable
using a government stamp known to have been before used,bailable
erasure of mark denoting that stamp have been used,bailable
fictitious stamp,bailable
fraudulent use of false instrument for weighing,bailable
fraudulent use of false weight or measure,bailable
being in possession of false weight or measure for fraudulent use,bailable
making or selling false weight or measure for fraudulent use,nonbailable
nan,nan
negligently doing any act known to be likely to spread infection of any disease dangerous to life,bailable
malignantly doing any act known to be likely to spread infection of any disease dangerous to life,bailable
knowingly disobeying any quarantine rule,bailable
adulterating food or drink intended for sale so a to make the same noxious,bailable
selling any food or drink a food and drink knowing the same to be noxious,bailable
adulterating any drug or medical preparation intended for sale so a to lessen it efficacy or to change it operation or to make it noxious,nonbailable
offering for sale or issuing from a dispensary any drug or medical preparation known to have been adulterated,bailable
knowingly selling or issuing from a dispensary any drug or medical preparation a a different drug or medical preparation,bailable
defiling the water of a public spring or reservoir,bailable
making atmosphere noxious to health,bailable
driving or riding on a public way so rashly or negligently a to endanger human life etc,bailable
navigating any vessel so rashly or negligently a to endanger human life etc,bailable
exhibition of a false light mark or buoy,bailable
conveying for hire any person by water in a vessel in such a state or so loaded a to endanger his life,bailable
causing danger obstruction or injury in any public way or line of navigation,bailable
